C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/scnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)

counter#155 epoch: 1, test mean loss=0.4798982433331694, test accuracy=0.7699999999999999

counter#156 epoch: 1, test mean loss=0.48827393022068366, test accuracy=0.7695000000000001

counter#157 epoch: 1, test mean loss=0.485500826516564, test accuracy=0.7695000000000001

counter#158 epoch: 1, test mean loss=0.48616822949916944, test accuracy=0.7695

counter#159 epoch: 1, test mean loss=0.4831321683023636, test accuracy=0.763

counter#160 epoch: 1, test mean loss=0.4821502401795204, test accuracy=0.7709999999999998

counter#161 epoch: 1, test mean loss=0.4783602373984741, test accuracy=0.768

counter#162 epoch: 1, test mean loss=0.4904799305603146, test accuracy=0.7665000000000001

counter#163 epoch: 1, test mean loss=0.4867257304645551, test accuracy=0.7730000000000002

counter#164 epoch: 1, test mean loss=0.47943470395901866, test accuracy=0.7769999999999999

counter#165 epoch: 1, test mean loss=0.4761351189794508, test accuracy=0.7784999999999999

counter#166 epoch: 1, test mean loss=0.47613186602754415, test accuracy=0.78

counter#167 epoch: 1, test mean loss=0.47426311124507137, test accuracy=0.776

counter#168 epoch: 1, test mean loss=0.4718637475214077, test accuracy=0.7779999999999998

counter#169 epoch: 1, test mean loss=0.47133804635584176, test accuracy=0.7789999999999999

counter#170 epoch: 1, test mean loss=0.4709552290585667, test accuracy=0.777

counter#171 epoch: 1, test mean loss=0.4750041352772046, test accuracy=0.7675000000000001

counter#172 epoch: 1, test mean loss=0.4701400881609688, test accuracy=0.781

counter#173 epoch: 1, test mean loss=0.4711713040488026, test accuracy=0.781

counter#174 epoch: 1, test mean loss=0.47092165585295637, test accuracy=0.7849999999999999

counter#175 epoch: 1, test mean loss=0.47003043899287655, test accuracy=0.7874999999999999

counter#176 epoch: 1, test mean loss=0.47440663480077794, test accuracy=0.7804999999999999

counter#177 epoch: 1, test mean loss=0.47089360557912546, test accuracy=0.78

counter#178 epoch: 1, test mean loss=0.46952663311668735, test accuracy=0.7859999999999998

counter#179 epoch: 1, test mean loss=0.4669527544631461, test accuracy=0.7845000000000001

counter#180 epoch: 2, test mean loss=0.4683451022127523, test accuracy=0.7880000000000001

counter#181 epoch: 2, test mean loss=0.46369965334462354, test accuracy=0.788

counter#182 epoch: 2, test mean loss=0.46611205848573223, test accuracy=0.7785

counter#183 epoch: 2, test mean loss=0.4627232282471101, test accuracy=0.7859999999999999

counter#184 epoch: 2, test mean loss=0.4647180136898784, test accuracy=0.7845000000000001

counter#185 epoch: 2, test mean loss=0.4636996993771209, test accuracy=0.7805000000000001

counter#186 epoch: 2, test mean loss=0.4672525848441584, test accuracy=0.7775

counter#187 epoch: 2, test mean loss=0.46345988090761514, test accuracy=0.7805000000000001

counter#188 epoch: 2, test mean loss=0.4612043271389002, test accuracy=0.7865

counter#189 epoch: 2, test mean loss=0.4629797745853737, test accuracy=0.7825000000000001

counter#190 epoch: 2, test mean loss=0.46038436193907906, test accuracy=0.7805000000000001

counter#191 epoch: 2, test mean loss=0.4605252556418834, test accuracy=0.7860000000000001

counter#192 epoch: 2, test mean loss=0.45797680056792, test accuracy=0.7860000000000001

counter#193 epoch: 2, test mean loss=0.4578899592150331, test accuracy=0.7849999999999999

counter#194 epoch: 2, test mean loss=0.4578300930184128, test accuracy=0.783

