C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#129  epoch: 1, test mean loss=0.5473225273052347, test accuracy=0.7029999999999998

counter#130  epoch: 1, test mean loss=0.550063742013849, test accuracy=0.6994999999999998

counter#131  epoch: 1, test mean loss=0.5511083552985323, test accuracy=0.6979999999999995

counter#132  epoch: 1, test mean loss=0.5507772237687211, test accuracy=0.6949999999999998

counter#133  epoch: 1, test mean loss=0.5527721771308891, test accuracy=0.6999999999999997

counter#134  epoch: 1, test mean loss=0.5459875613120913, test accuracy=0.7004999999999998

counter#135  epoch: 1, test mean loss=0.5461469330351838, test accuracy=0.7004999999999998

counter#136  epoch: 1, test mean loss=0.5453016568707081, test accuracy=0.7019999999999997

counter#137  epoch: 1, test mean loss=0.5445868962966707, test accuracy=0.7064999999999998

counter#138  epoch: 1, test mean loss=0.5447512382516644, test accuracy=0.7064999999999999

counter#139  epoch: 1, test mean loss=0.5440546053379, test accuracy=0.7065

counter#140  epoch: 1, test mean loss=0.5474162751753429, test accuracy=0.7045

counter#141  epoch: 1, test mean loss=0.5525811861297064, test accuracy=0.7055000000000001

counter#142  epoch: 1, test mean loss=0.5447850345306765, test accuracy=0.7064999999999998

counter#143  epoch: 1, test mean loss=0.5438567819241489, test accuracy=0.7069999999999999

counter#144  epoch: 1, test mean loss=0.5447435333829634, test accuracy=0.7004999999999997

counter#145  epoch: 1, test mean loss=0.5435504518310189, test accuracy=0.7069999999999999

counter#146  epoch: 1, test mean loss=0.5425354980260263, test accuracy=0.7069999999999999

counter#147  epoch: 1, test mean loss=0.5420907049795429, test accuracy=0.706

counter#148  epoch: 1, test mean loss=0.5428145315620989, test accuracy=0.7054999999999998

counter#149  epoch: 1, test mean loss=0.5447384123245592, test accuracy=0.7019999999999997

counter#150  epoch: 1, test mean loss=0.5510900146813961, test accuracy=0.7045

counter#151  epoch: 1, test mean loss=0.5452996490845247, test accuracy=0.7070000000000001

counter#152  epoch: 1, test mean loss=0.5434688700436314, test accuracy=0.7055

